# Accelerometer Data File
# Started @Sun Jan 24 21:08:29 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.021 4.065 7.809 0
-0.64 3.503 7.391 20
-0.363 3.096 6.598 20
-0.076 2.841 5.586 20
0.047 2.455 5.122 20
-0.054 2.313 4.461 20
-0.1 2.295 3.836 21
-0.097 2.126 3.101 20
-0.238 2.049 2.431 20
-0.49 1.549 1.936 20
-0.413 1.047 3.499 20
-0.32 0.944 2.724 20
-0.299 1.24 0.816 21
-0.318 1.526 -0.127 20
-0.743 0.603 2.105 20
-0.738 -1.312 5.887 20
-0.824 -0.575 4.074 20
-0.858 1.37 0.038 21
-0.619 0.946 -0.329 20
-1.361 0.185 2.788 20
-1.87 0.822 2.132 20
0.041 0.166 0.008 20
0.656 0.352 -2.18 20
-0.668 -0.012 0.756 21
-0.534 -1.408 3.073 20
-0.67 -0.739 1.483 20
-1.276 1.091 0.811 20
-1.403 0.773 -0.209 20
-0.723 0.961 0.093 20
0.109 -0.072 -0.885 21
0.441 -0.815 0.347 20
-0.064 -0.065 0.485 20
-0.29 0.264 0.143 20
-0.63 0.543 -2.048 20
-1.237 1.065 -1.166 21
-1.56 0.853 1.218 20
-1.289 0.916 2.105 20
-0.938 0.971 1.159 20
0.243 -0.205 -4.016 20
-0.405 -0.439 -3.42 20
-1.99 0.865 -1.312 21
-3.751 0.822 2.22 20
-3.119 0.069 0.381 20
-2.012 -0.237 -0.353 20
-2.192 -0.021 1.95 20
-2.915 0.243 1.177 20
-3.458 0.734 -0.332 21
-1.573 -0.291 3.932 20
1.087 -2.651 2.834 20
0.307 -3.281 0.933 20
-1.262 -1.372 2.384 20
-1.681 -0.487 -0.238 21
-0.034 -0.261 -3.45 20
0.997 0.467 -5.406 20
2.669 0.232 -6.228 20
3.508 0.05 -5.217 20
0.577 0.476 -2.653 20
-2.884 -2.24 3.376 21
-1.647 -2.977 -0.701 20
1.526 0.366 1.054 20
1.365 -0.683 3.43 20
0.351 -0.018 3.684 20
0.208 -1.186 2.141 20
-0.215 -1.544 -0.021 21
3.41 -2.278 2.696 20
4.294 -2.621 1.48 20
3.64 -2.45 2.102 20
5.066 -3.276 3.045 20
4.43 -2.716 0.099 21
3.366 -0.948 -1.326 20
2.947 -0.5 0.925 20
6.531 -2.608 2.242 20
10.233 -3.101 3.202 20
9.099 -2.649 2.534 20
4.602 -1.929 0.623 21
3.213 -1.426 -0.389 20
0.153 0.055 -2.215 20
-1.78 -0.562 -0.092 20
-0.871 -2.72 0.636 20
-0.588 -3.815 -0.498 20
-1.6 -5.893 -1.793 21
