# Accelerometer Data File
# Started @Sun Jan 24 20:56:24 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.516 5.434 5.608 0
-1.854 4.899 5.095 20
-1.403 3.909 5.258 20
-0.23 2.994 5.842 20
0.029 2.418 5.4 20
0.533 2.067 3.84 20
-0.011 1.595 3.86 21
-0.998 1.881 5.498 20
-1.624 2.799 4.905 20
-1.996 3.024 3.248 20
-1.053 2.42 2.93 20
-0.171 1.475 2.32 20
0.2 0.715 1.193 21
0.978 0.031 1.356 20
1.061 -0.15 1.587 20
0.867 0.435 0.165 20
0.909 0.4 -0.795 20
0.62 -0.022 0.985 20
-0.482 0.643 3.214 21
-0.281 0.335 2.197 20
0.057 0.288 1.19 20
-0.168 0.279 0.926 20
-0.093 0.098 2.824 20
-0.122 0.528 1.17 20
0.631 0.147 -0.345 21
0.58 0.667 -1.115 20
1.109 0.911 -1.292 20
0.998 0.205 0.703 20
1.049 -0.073 0.663 20
1.901 -0.128 -0.517 20
2.871 -1.258 -2.199 21
3.187 -3.269 -3.41 20
-0.612 -1.909 -0.51 20
-2.506 0.579 3.071 20
-2.969 1.619 3.217 20
-0.547 -0.355 -0.141 20
0.835 -1.303 -5.625 21
2.655 -0.082 0.54 20
3.0 -0.565 2.54 20
1.941 -1.108 2.659 20
1.124 -1.767 3.387 20
2.82 -2.655 2.841 20
5.022 -2.627 2.486 21
5.757 -2.295 1.237 20
4.338 -1.738 0.652 20
4.282 -1.823 -0.04 20
5.966 -1.985 -2.605 20
4.421 -1.502 -4.557 20
3.888 -2.055 -0.874 21
2.805 -2.418 -1.101 20
1.328 -2.295 3.628 20
1.924 -5.215 16.382 20
1.387 -6.901 1.373 20
-0.674 -8.79 -0.745 21
-2.894 -8.279 -5.426 20
-1.712 -5.444 -18.578 20
0.972 -1.258 -16.628 20
2.086 3.34 -12.494 20
2.572 5.794 -8.172 20
1.096 5.1 -0.368 21
1.879 -0.098 4.797 20
5.645 -5.056 4.397 20
7.215 -5.501 3.604 20
5.633 -3.75 1.036 20
3.617 -1.441 -3.661 20
3.318 1.298 -9.319 21
3.352 3.943 -9.389 20
2.942 4.939 -5.676 20
1.815 4.542 -2.336 20
2.009 3.635 -0.287 20
1.961 2.541 2.596 20
0.704 2.0 4.49 21
-0.581 2.453 5.615 20
-0.142 2.173 5.732 20
0.689 1.1 5.452 20
0.221 0.414 4.458 20
-1.329 0.412 1.951 20
0.243 -0.267 -3.598 21
2.573 -1.894 -9.126 20
1.855 -1.398 -7.403 20
-0.717 -0.258 -6.177 20
-3.816 1.235 1.821 20
-1.13 1.168 11.416 20
2.335 -0.716 10.939 21
-1.871 0.012 -1.865 20
-4.633 -0.335 -11.969 20
-4.446 -3.214 -6.152 20
-2.113 -6.489 3.205 20
0.439 -6.683 3.572 20
4.884 -4.917 -3.112 21
6.612 -1.715 -6.356 20
4.553 -0.44 -2.758 20
1.683 -0.204 2.81 20
4.451 -0.83 2.781 20
2.631 3.311 -1.038 21
-2.243 7.503 -5.229 20
1.52 3.472 -1.96 20
-3.292 3.76 -0.873 20
-9.446 7.092 -1.851 20
-8.704 4.719 1.399 20
-12.477 4.406 -2.34 21
-12.879 3.002 -3.982 20
-8.482 -0.833 -1.081 20
-1.412 -5.844 2.45 20
-5.132 -4.406 -2.431 20
-4.996 -3.553 -0.427 20
7.419 -7.296 -1.675 21
14.99 -10.605 -2.383 20
11.447 -14.917 4.85 20
0.799 -9.029 -0.11 20
-1.615 -5.328 -1.558 20
5.188 -5.252 -3.961 20
7.364 -5.188 -0.038 21
7.492 -5.976 -3.456 20
8.358 -5.454 -8.849 20
6.006 -1.84 -3.728 20
-4.605 -2.081 -1.428 20
-10.125 -4.111 1.047 20
-8.576 0.053 3.318 21
-9.133 2.344 4.118 20
-13.756 4.373 4.124 20
-16.461 8.081 8.358 20
-13.899 6.939 5.72 20
-7.785 4.104 -5.476 20
2.892 1.398 -15.576 21
4.574 -3.161 -8.422 20
7.389 -7.78 1.224 20
11.458 -9.425 2.913 20
3.262 -6.926 -4.686 20
1.062 -7.261 -7.307 20
0.82 -3.84 -6.71 21
1.156 -7.803 -8.065 20
-0.657 -4.698 -6.043 20
-0.889 2.465 2.117 20
-1.565 5.78 3.58 20
-1.422 6.646 1.211 21
4.303 5.389 0.79 20
1.545 7.786 1.509 20
-4.452 9.217 3.443 20
-6.115 13.075 4.61 20
-4.067 14.821 3.72 20
-1.589 9.904 4.214 21
-3.765 5.173 8.564 20
-3.119 3.638 14.432 20
-4.01 -1.573 11.479 20
-7.265 -13.981 -13.107 20
-1.608 -11.399 -15.369 20
10.196 -15.091 12.948 21
7.255 -14.582 19.73 20
-4.167 -10.485 8.618 20
-3.627 -13.571 -4.711 20
0.729 -11.5 -17.63 20
2.226 -6.036 -5.504 20
0.826 -1.235 4.581 21
-3.77 -1.452 -7.828 20
-9.126 0.199 -16.579 20
-6.475 4.122 -6.683 20
-2.822 10.023 4.938 20
0.494 12.595 4.621 21
4.718 5.969 -6.115 20
1.239 1.19 -5.982 20
-3.655 -1.675 5.36 20
-6.136 -8.376 3.067 20
-6.374 -13.636 -0.914 20
-8.802 -12.214 -6.124 21
-3.047 -9.873 5.124 20
-2.915 -6.292 6.858 20
-4.816 -1.873 -0.564 20
-2.284 -0.306 -4.256 20
3.01 0.414 -3.19 20
1.256 3.643 1.017 21
-0.583 9.848 3.614 20
-0.805 13.658 4.84 20
-1.507 14.152 2.398 20
-0.276 13.526 3.596 20
1.029 12.975 6.863 20
1.485 11.477 7.05 21
1.575 7.924 0.306 20
5.158 4.081 -13.362 20
5.14 0.495 -16.26 20
-4.445 -1.179 2.925 20
-8.435 -3.567 21.906 20
-8.708 -9.193 7.397 21
-7.378 -18.874 7.39 20
2.916 -16.476 1.578 20
13.354 -12.096 -5.441 20
16.846 -13.771 8.508 20
14.189 -12.196 1.461 20
11.783 -5.034 -17.68 21
3.531 3.053 -9.13 20
-0.32 2.969 -0.302 20
-5.113 5.141 -6.498 20
-8.388 10.331 -6.364 20
-5.568 12.053 -3.237 20
-0.876 12.7 0.412 21
4.23 11.184 1.166 20
6.519 8.168 -2.134 20
1.87 2.986 1.942 20
-1.112 -1.988 2.6 20
1.005 -6.795 4.144 20
2.545 -14.8 -1.963 21
0.393 -32.585 -4.953 20
-2.392 -24.288 -1.353 20
4.204 -3.085 3.071 20
3.931 4.567 6.772 20
-0.196 8.698 4.032 20
-1.993 11.972 2.656 21
-4.038 13.116 2.237 20
-5.364 12.561 2.395 20
-4.685 12.398 5.133 20
-3.526 12.415 6.687 20
-3.368 12.161 4.235 20
-3.385 10.572 -3.407 21
-0.618 7.096 -8.26 20
3.108 2.723 -0.632 20
4.004 -3.397 -10.773 20
-1.128 -6.287 -7.723 20
-4.624 -4.975 6.016 21
-7.156 -14.522 14.228 20
-4.647 -17.838 10.477 20
8.097 -9.447 13.038 20
18.623 -11.488 1.77 20
17.772 -8.123 -8.932 20
12.759 -4.904 -9.597 21
3.502 -3.662 -7.853 20
-2.873 0.757 -3.739 20
-7.441 5.502 -1.196 20
-7.083 7.935 -1.042 20
-4.792 8.586 -7.239 20
-4.884 10.116 -6.196 21
-0.953 10.172 -1.459 20
4.954 8.18 -1.16 20
3.557 6.191 1.65 20
-0.917 3.472 5.04 20
3.494 -2.443 3.738 20
5.622 -7.933 4.41 21
3.55 -20.981 -6.292 20
-3.233 -32.616 -4.126 20
-5.057 -17.072 2.338 20
3.142 0.028 7.504 20
4.786 5.076 4.037 20
-0.34 9.04 1.814 21
-1.968 10.279 3.556 20
-4.473 11.198 1.831 20
-7.085 12.656 0.663 20
