# Accelerometer Data File
# Started @Sun Jan 24 20:43:55 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.646 4.403 8.249 0
-1.399 3.816 7.594 20
-1.322 3.506 6.251 20
-1.375 3.582 5.414 20
-1.436 3.362 5.144 20
-1.04 2.844 4.807 20
-0.393 2.273 3.815 21
-0.185 1.962 3.192 20
-0.192 1.617 3.457 20
-0.3 1.526 3.273 20
-0.339 1.628 2.517 20
0.06 1.34 1.702 20
0.457 0.911 2.056 21
0.416 0.571 2.23 20
0.103 0.396 2.528 20
-0.03 0.572 1.689 20
0.348 0.433 1.27 20
0.561 0.307 0.792 20
0.977 0.108 0.477 21
1.002 -0.065 0.82 20
0.391 0.261 0.272 20
-0.076 0.802 -0.25 20
-0.265 0.683 0.785 20
-0.152 0.033 1.929 20
-0.128 0.206 2.756 21
-0.206 1.044 1.95 20
0.031 0.989 0.638 20
0.481 0.579 0.227 20
0.784 0.254 0.756 20
0.544 0.261 2.388 21
0.891 0.429 0.894 20
1.517 0.675 -2.663 20
1.301 1.433 -3.77 20
1.018 1.441 -2.5 20
1.149 0.497 -2.356 20
1.374 -0.384 -2.316 21
0.732 -0.583 0.387 20
-0.258 -0.74 3.725 20
1.185 -2.096 3.083 20
0.935 -1.455 1.912 20
-0.371 -1.232 2.495 20
-0.476 -1.229 1.932 21
-0.135 -1.134 1.821 20
0.134 -1.279 0.591 20
0.681 -0.794 -0.349 20
0.505 -0.298 -1.916 20
0.64 0.259 -2.433 20
0.798 0.272 -2.412 21
0.688 0.247 -2.843 20
0.063 0.765 -0.289 20
0.699 -0.347 3.115 20
0.978 -0.474 1.67 20
0.514 -0.034 -0.637 21
0.012 0.11 -0.64 20
-0.191 0.114 0.716 20
-0.295 0.0 1.595 20
-0.224 -0.34 1.807 20
-0.484 0.415 1.121 20
0.089 0.559 -0.124 21
-0.167 0.813 -0.379 20
-0.659 1.051 -0.315 20
-0.565 0.843 -0.417 20
-0.209 0.547 -0.194 20
-0.058 0.302 0.465 20
0.091 -0.147 1.444 21
0.03 -0.391 1.753 20
-0.112 -0.259 0.954 20
-0.058 -0.177 0.111 20
0.294 -0.203 -0.104 20
0.377 -0.704 0.625 20
0.609 -1.906 0.796 21
0.878 -2.267 2.389 20
1.273 -2.09 2.163 20
1.033 -2.129 -1.105 20
0.512 -1.278 -2.073 20
1.472 -0.675 -4.485 21
4.425 -0.839 -6.229 20
6.179 -1.865 -5.466 20
5.505 -2.422 -5.753 20
3.46 -1.723 -1.696 20
2.073 -1.065 1.816 20
1.046 -0.431 1.139 21
0.793 -0.592 0.833 20
0.002 0.242 -3.182 20
-1.502 1.156 -3.961 20
-2.087 1.717 -2.038 20
-3.318 0.331 -0.425 20
-0.712 -4.204 2.924 21
1.954 -3.379 7.342 20
2.168 -1.928 5.55 20
0.772 -2.128 -0.72 20
1.445 -2.939 -4.725 20
2.93 -3.527 -5.395 20
3.025 -4.198 -3.769 21
3.182 -4.274 -0.455 20
2.972 -3.278 0.281 20
3.41 -3.377 -1.214 20
3.058 -3.847 -0.491 20
4.684 -4.379 -1.522 20
7.484 -3.029 -2.002 21
10.428 -1.797 -2.834 20
13.046 -1.302 -3.128 20
12.017 0.246 -2.419 20
6.92 4.419 -2.313 20
-1.647 11.214 -3.519 20
-7.075 14.974 -3.217 21
-3.914 8.86 -2.274 20
1.744 2.526 -1.773 20
0.377 3.899 -2.559 20
