# Accelerometer Data File
# Started @Tue Jan 26 20:43:22 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.918 3.25 7.648 0
-2.415 2.828 6.549 20
-2.128 2.508 6.208 20
-2.085 2.354 6.081 20
-2.189 2.347 6.111 20
-2.005 2.311 5.427 20
-1.561 2.084 5.143 21
-0.973 2.076 4.59 20
-0.156 1.526 2.941 20
0.025 1.925 1.663 20
0.057 1.346 -0.026 20
0.338 0.207 -0.968 20
1.315 -0.483 -1.095 21
2.434 -0.823 -1.037 20
1.809 -1.131 1.672 20
0.423 -2.895 6.23 20
-0.427 -3.509 6.679 20
-0.001 -0.688 5.761 20
-0.298 -0.019 0.707 21
1.393 -1.33 0.492 20
1.553 -0.805 0.785 20
2.334 -1.36 -0.157 20
2.818 -1.768 2.921 20
1.892 -2.035 2.526 20
-0.851 -1.57 2.424 21
-1.782 -2.759 4.437 20
0.674 -2.716 2.62 20
1.364 -2.235 0.909 20
0.305 -1.552 0.007 20
-1.148 -0.821 0.668 20
-1.313 -0.799 1.375 21
-1.745 -0.78 1.995 20
-2.857 -0.368 1.062 20
-1.286 -0.816 -0.279 20
1.021 -1.217 -2.693 20
-0.913 -0.742 -1.087 20
-1.455 -0.316 -0.709 21
-1.213 -0.61 0.159 20
-1.055 -0.81 1.311 20
-0.05 -0.722 2.288 20
0.872 -0.484 1.076 20
0.485 0.083 1.238 20
0.059 -0.8 0.89 21
-0.573 -0.403 -1.434 20
-1.309 1.297 -0.493 20
-0.395 1.214 0.077 20
-1.477 1.632 -0.542 20
-0.596 1.814 -2.033 20
0.56 2.244 -4.158 21
1.047 2.503 -4.62 20
-0.598 2.339 -2.687 20
-2.127 1.743 0.814 20
-1.507 0.109 3.156 20
-0.043 -1.755 3.45 20
0.506 -3.352 3.149 21
1.222 -5.354 2.985 20
1.089 -6.994 0.517 20
-0.14 -8.278 -5.025 20
-0.374 -8.079 -10.908 20
2.588 -7.461 -14.524 20
7.394 -7.09 -14.567 21
19.685 -11.874 -14.952 20
15.869 -9.934 -17.909 20
-2.656 -3.76 -16.443 20
-10.133 -1.649 -12.061 20
-5.562 -2.437 -8.705 20
0.392 -3.096 -5.812 21
0.275 -0.471 -6.031 20
-2.388 1.981 -10.175 20
-2.904 3.762 -13.918 20
-0.898 2.51 -10.825 20
0.981 1.095 -3.941 20
0.878 1.438 -0.414 21
-1.994 1.907 2.509 20
-3.241 2.324 3.482 20
-3.372 3.047 1.271 20
-1.573 2.097 4.449 20
0.871 1.571 3.207 20
2.802 0.601 3.099 21
6.402 -1.254 4.95 20
11.516 -2.211 8.495 20
12.287 -1.274 1.333 20
8.234 1.131 -1.839 20
6.217 -1.437 9.541 21
6.744 -1.289 -0.13 20
5.518 1.071 -0.868 20
4.849 -0.711 1.756 20
1.605 -0.439 0.892 20
-0.681 0.231 1.75 20
1.079 -0.405 5.149 21
0.74 1.378 2.94 20
-1.068 2.344 1.05 20
-1.05 1.278 1.926 20
-0.55 0.68 1.393 20
-1.112 0.696 0.503 20
-0.574 -0.019 1.498 21
-0.467 0.262 1.456 20
1.431 -0.093 2.08 20
1.456 0.974 0.934 20
0.073 2.127 0.606 20
1.9 1.528 0.726 20
2.667 1.11 0.988 21
0.818 1.736 1.12 20
0.193 2.011 1.611 20
0.273 2.407 1.219 20
1.14 2.531 0.791 20
1.229 2.476 0.559 20
1.052 2.049 1.092 21
1.578 1.583 1.463 20
1.546 1.015 1.019 20
0.38 0.787 0.376 20
-0.354 0.535 0.218 20
0.254 0.085 0.485 20
0.82 0.098 0.247 21
0.302 0.61 -0.113 20
-0.411 0.948 0.115 20
0.436 0.318 0.707 20
1.296 -0.096 0.783 20
0.504 0.109 -0.431 20
-0.179 -0.052 -0.47 21
-0.519 -0.381 -0.093 20
-0.553 -0.505 -0.12 20
-0.244 -0.916 -0.242 20
0.485 -0.841 -0.914 20
1.462 -1.695 -0.124 21
-1.307 -1.596 -0.029 20
-0.376 -2.161 0.208 20
1.791 -2.307 -0.198 20
1.875 -1.427 -1.304 20
1.5 -0.808 -1.469 20
-0.564 0.281 -1.783 21
-1.976 0.604 0.061 20
-1.198 0.457 -1.197 20
-0.541 -0.211 -1.179 20
-0.832 -0.763 -0.42 20
-0.736 -1.098 -0.551 20
0.49 -1.224 -0.912 21
0.557 -0.89 -0.917 20
-0.215 -0.624 -0.487 20
-0.153 -0.279 -0.497 20
0.297 -0.12 -0.134 20
0.198 0.064 0.096 20
-0.543 0.657 -0.84 21
-0.667 0.895 -1.159 20
0.364 0.821 -0.448 20
0.076 0.775 0.098 20
-0.067 0.728 0.164 20
-0.047 0.827 -0.134 20
-0.517 0.844 -0.097 21
-0.685 0.837 -0.46 20
-0.987 1.012 -0.373 20
-1.328 0.962 0.034 20
-3.645 1.278 -0.738 20
-0.592 0.324 -0.11 20
-1.934 1.012 -0.798 21
-1.529 0.139 -1.854 20
1.143 -0.236 -3.046 20
0.363 0.075 -3.216 20
1.613 -1.574 -2.534 20
7.256 -3.971 1.618 20
5.222 -0.56 -0.099 21
0.355 1.442 -1.01 20
-5.457 -0.888 3.128 20
-7.41 -3.701 2.678 20
-6.219 -2.981 2.39 20
-4.76 -3.088 2.904 20
-3.706 -2.258 -0.497 21
-1.309 -3.291 -3.045 20
2.975 -6.463 -2.546 20
1.304 -6.183 -2.54 20
-2.287 -4.769 -1.359 20
-0.772 -3.163 -0.552 20
-0.591 -0.19 -0.212 21
-2.205 1.561 -0.197 20
-1.661 0.961 -1.031 20
-0.656 0.171 -1.556 20
-1.686 1.178 -0.404 20
-2.425 3.28 0.287 20
-1.262 2.879 -0.366 21
0.261 1.647 -3.398 20
-1.295 1.719 -2.984 20
-2.453 1.922 -0.994 20
-1.5 0.201 -0.635 20
-0.764 -2.172 0.298 20
-1.127 -3.902 -0.442 21
-2.282 -4.749 1.705 20
-2.166 -6.391 -1.051 20
-3.047 -4.486 -0.233 20
-3.928 -2.378 -0.791 20
-2.987 -3.127 -1.745 21
-1.451 -2.15 -1.184 20
-1.399 2.371 0.136 20
-1.526 4.105 -0.801 20
-0.696 4.028 -0.814 20
0.608 2.545 -0.081 20
-0.787 -1.013 -0.084 21
-1.307 -0.802 -2.378 20
0.252 -0.653 0.062 20
-0.038 0.522 -0.905 20
0.161 1.448 -0.683 20
0.928 1.495 2.334 20
0.186 1.05 -0.287 21
-0.312 0.217 -0.914 20
-0.397 -0.472 -0.747 20
-0.028 -0.05 -0.439 20
-0.176 -0.071 -0.025 20
-0.451 -0.182 -0.003 20
-0.706 0.217 0.137 21
-0.519 0.415 -0.016 20
-0.376 0.205 -0.165 20
-0.515 -0.021 -0.17 20
-0.647 -0.11 -0.153 20
-0.679 0.601 -0.317 20
-0.43 -0.314 0.54 21
-0.525 0.406 -0.24 20
-0.345 -0.718 -0.615 20
-0.425 -2.192 0.757 20
-0.454 1.129 -0.892 20
1.117 1.874 -0.833 20
1.478 0.869 -0.728 21
1.556 0.698 -1.492 20
1.541 -1.494 -2.308 20
0.694 -1.429 -1.273 20
