# Accelerometer Data File
# Started @Tue Jan 26 20:20:14 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.09 5.485 7.693 0
-1.004 4.84 7.087 20
-1.012 4.185 6.452 20
-0.74 3.346 5.311 20
-0.353 2.611 4.73 20
-0.32 2.018 4.658 20
-0.23 1.426 4.785 21
-0.272 0.701 4.134 20
-0.3 0.1 3.533 20
-0.272 -0.59 3.52 20
-0.426 -1.359 3.951 20
-0.381 -1.559 4.813 20
0.553 -1.576 4.456 21
1.593 -1.519 1.74 20
2.66 -1.538 -0.427 20
3.709 -1.97 -0.485 20
4.606 -2.047 -0.088 20
3.233 -0.958 0.47 20
0.982 -0.722 1.992 21
1.009 -1.122 0.681 20
0.712 -0.958 1.126 20
-0.359 -0.959 1.934 20
-1.36 0.229 1.826 20
-3.278 1.314 -1.018 20
-3.813 -0.013 4.027 21
0.302 -0.87 5.387 20
0.03 -0.796 4.693 20
0.37 -2.501 4.649 20
-0.565 -2.971 1.84 20
-2.578 -2.346 2.277 21
-3.291 -2.743 4.63 20
-3.626 -3.693 4.139 20
-4.285 -3.143 2.858 20
-6.978 -1.932 1.175 20
-9.368 -1.667 0.264 20
-8.595 -1.623 -0.197 21
-7.386 -1.983 1.461 20
-6.164 -2.047 0.782 20
-3.172 -2.854 -1.742 20
-1.926 -3.159 -3.388 20
-2.447 -1.761 -4.353 20
-2.137 -0.244 -4.562 21
-2.417 1.364 -5.507 20
-4.385 3.681 -7.018 20
-4.02 5.769 -9.446 20
-2.063 6.203 -8.471 20
-0.344 5.88 -5.102 20
0.188 5.031 -2.746 21
2.176 3.06 -0.339 20
3.808 1.544 0.849 20
5.721 0.866 -1.934 20
6.063 0.087 -3.103 20
6.164 1.103 -3.019 21
2.695 1.995 -3.206 20
-1.113 2.701 -4.281 20
-2.528 2.78 -4.793 20
-2.028 2.066 -3.212 20
-1.18 2.407 0.254 20
2.177 1.166 5.368 21
6.323 -1.914 12.53 20
10.332 -7.127 13.31 20
10.407 -8.894 9.58 20
9.153 -9.156 4.349 20
8.665 -9.325 0.354 20
8.598 -9.703 -0.739 21
8.674 -9.845 -0.717 20
7.761 -8.237 -1.494 20
4.961 -5.6 -3.014 20
2.009 -3.872 -4.855 20
1.206 -3.909 -6.991 21
1.469 -4.87 -6.238 20
1.236 -3.68 -5.692 20
4.407 -3.558 -7.667 20
2.522 -2.801 -10.822 20
2.218 -3.644 -10.565 20
6.083 -2.885 -17.615 21
5.622 -2.144 -20.566 20
7.073 -4.232 -7.596 20
19.733 -5.462 11.988 20
29.039 -3.241 3.442 20
12.975 6.06 -21.671 20
0.465 2.468 -10.24 21
-2.153 -1.659 8.477 20
-3.904 -0.094 12.099 20
-5.887 1.68 7.167 20
-7.532 3.267 3.18 20
-9.506 5.579 0.876 20
-11.252 7.71 -5.838 21
-12.757 5.71 0.021 20
-8.172 3.14 3.94 20
-3.817 2.725 1.457 20
-3.554 1.254 9.318 20
1.705 0.537 15.135 21
1.459 4.356 0.065 20
-0.505 7.21 -10.453 20
4.839 0.864 9.182 20
6.27 2.418 -11.661 20
9.539 -8.701 18.84 20
5.331 -9.873 13.858 21
