# Accelerometer Data File
# Started @Tue Jan 26 20:32:33 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.706 4.03 8.204 0
-1.303 3.373 7.625 20
-1.295 3.385 5.56 20
-1.472 3.24 4.607 20
-1.501 2.873 4.435 20
-1.396 2.803 4.27 20
-0.789 2.333 4.746 20
-0.606 1.869 4.593 21
-0.16 1.674 3.209 20
0.56 1.631 2.487 20
1.08 1.537 3.232 20
0.892 1.519 4.45 20
0.005 1.74 3.981 20
0.399 1.025 2.121 21
1.338 -0.021 0.792 20
1.558 -0.351 -0.446 20
2.79 0.186 -0.828 20
3.162 -0.011 -0.652 20
2.525 -0.161 0.425 20
1.899 0.575 -1.035 21
1.729 1.558 -4.573 20
3.733 0.674 -4.758 20
5.863 -0.656 -3.441 20
5.453 -2.705 -3.36 20
1.844 -3.379 3.93 20
-0.611 -1.849 7.17 21
4.19 -1.877 0.39 20
6.414 -2.164 1.017 20
4.815 -2.579 2.567 20
1.583 -1.364 3.192 20
3.278 -0.479 2.392 20
2.254 0.641 3.034 21
-0.948 1.332 2.487 20
-1.301 0.274 -2.383 20
-2.124 -2.277 -4.824 20
-0.558 -3.94 -2.427 20
-1.256 -3.889 1.376 20
-1.793 -3.933 2.916 21
-2.43 -3.365 1.697 20
-2.125 -2.891 0.376 20
-2.264 -2.061 -0.215 20
-2.143 -2.005 -0.275 20
-1.676 -2.061 0.415 20
-1.323 -1.853 1.579 21
-0.438 -1.957 0.848 20
0.646 -2.132 -0.118 20
1.075 -2.08 -0.061 20
1.095 -2.245 -0.829 20
1.468 -2.506 -1.362 20
1.832 -2.865 -2.19 21
1.862 -3.018 -1.964 20
2.215 -3.434 -0.729 20
2.774 -3.886 -0.015 20
3.225 -4.112 -0.292 20
2.665 -4.164 -0.834 20
1.95 -4.561 -0.804 21
2.909 -5.948 0.185 20
5.078 -7.94 2.249 20
5.594 -8.744 2.815 20
4.118 -7.486 -1.917 20
2.73 -4.654 -9.306 20
2.549 -0.304 -17.171 21
4.192 4.35 -26.449 20
3.583 4.491 -18.262 20
2.789 2.11 -1.672 20
3.17 0.073 6.513 20
3.17 -0.988 6.019 20
1.296 -0.71 1.719 21
-1.747 1.134 -1.112 20
-3.433 2.028 -2.021 20
-4.299 2.146 -0.426 20
-5.344 2.378 -0.301 20
-6.39 3.418 -3.011 20
-6.26 4.573 -5.424 21
-3.635 4.697 -5.481 20
-1.883 4.67 -4.036 20
-0.925 3.674 -2.279 20
1.564 0.834 0.488 20
4.482 -1.698 5.879 20
6.946 -3.309 11.187 21
8.897 -3.978 11.284 20
11.047 -5.219 11.275 20
10.712 -5.561 10.751 20
5.551 -4.076 8.074 20
1.167 -3.767 1.849 20
-1.478 -3.287 -3.052 21
-3.71 -2.544 -4.489 20
-5.426 -2.626 -2.794 20
-6.149 -3.526 -1.038 20
-6.765 -3.501 0.018 20
-8.376 -2.75 -5.476 20
-8.84 3.378 -24.377 21
-2.853 4.325 -21.075 20
2.771 -1.546 -3.455 20
1.684 -0.686 3.909 20
-2.845 1.384 2.742 20
-3.602 2.22 2.836 20
-3.533 2.339 4.182 21
-4.833 2.501 3.652 20
-2.481 2.622 1.838 20
0.267 1.269 1.76 20
-0.709 1.631 2.517 20
0.482 0.002 5.769 20
4.42 0.241 2.534 21
5.761 1.642 0.245 20
9.654 1.049 4.265 20
7.393 0.179 6.275 20
5.349 2.11 1.337 20
4.202 1.459 1.887 20
1.266 1.462 -1.608 21
-3.271 0.712 -0.526 20
-4.871 1.591 -1.819 20
-3.414 2.107 -0.52 20
-1.984 1.428 2.258 20
-0.925 1.643 4.248 20
2.31 1.013 3.082 21
0.624 1.498 -0.899 20
-0.932 0.803 -1.725 20
-1.904 -0.477 -1.51 20
